code_word,size,stranding,diameter_in
Turkey,6,6/1,.198
Swan,4,6/1,.25
Swanate,4,7/1,.257
Sparrow,2,6/1,.316
Sparate,2,7/1,.325
Robin,1,6/1,.354
Raven,1/0,6/1,.398
Quail,2/0,6/1,.447
Pigeon,3/0,6/1,.502
Penguin,4/0,6/1,.563
Waxwing,266.8,18/1,.609
Partridge,266.8,26/7,.642
Ostrich,300,26/7,.68
Merlin,336.4,18/1,.684
Linnet,336.4,26/7,.72
Oriole,336.4,30/7,.741
Chickadee,397.5,18/1,.743
Brant,397.5,24/7,.772
Ibis,397.5,26/7,.783
Lark,397.5,30/7,.806
Pelican,477,18/1,.814
Flicker,477,24/7,.846
Hawk,477,26/7,.858
Hen,477,30/7,.883
Osprey,556.5,18/1,.879
Parakeet,556.5,24/7,.914
Dove,556.5,26/7,.927
Eagle,556.5,30/7,.953
Peacock,605,24/7,.953
Squab,605,26/7,.966
Wood Duck,605.0,30/7,.994
Teal,605.0,30/19,.994
Kingbird,636,18/1,.94
Swift,636.0,36/1,.93
Rook,636,24/7,.977
Grosbeak,636,26/7,.991
Scoter,636.0,30/7,1.019
Egret,636,30/19,1.019
Flamingo,666.6,24/7,1
Gannet,666.6,26/7,1.014
Stilt,715.5,24/7,1.036
Starling,715.5,26/7,1.051
Redwing,715.5,30/19,1.081
Coot,795,36/1,1.04
Drake,795,26/7,1.107
Tern,795,45/7,1.063
Condor,795,54/7,1.092
Mallard,795,30/19,1.14
Ruddy,900,45/7,1.131
Canary,900,54/7,1.162
Rail,954,45/7,1.165
Cardinal,954,54/7,1.196
Ortolan,1033.5,45/7,1.212
Curlew,1033.5,54/7,1.245
Bluejay,1113,45/7,1.258
Finch,1113,54/19,1.292
Bunting,1192.5,45/7,1.302
Grackle,1192.5,54/19,1.337
Bittern,1272,45/7,1.345
Pheasant,1272,54/19,1.381
Dipper,1351.5,45/7,1.386
Martin,1351.5,54/19,1.424
Bobolink,1431,45/7,1.427
Lapwing,1590,45/7,1.504
Falcon,1590,54/19,1.544
Chukar,1780,84/19,1.602
Bluebird,2156,84/19,1.762
Kiwi,2167,72/7,1.735
Grouse,80.0,8/1,.367
Petrel,101.8,12/7,.461
Minorca,110.8,12/7,.481
Leghorn,134.6,12/7,.530
Guinea,159.0,12/7,.576
Dotterel,176.9,12/7,.607
Dorking,190.8,12/7,.631
Brahma,203.2,16/19,.714
Cochin,211.3,12/7,.664
